referencia;status;lado;ativo;expiracao;entrada;preco_final;valor_centavos;retorno_centavos
...720697;WIN;PUT;EURCAD;2026-08-11 16:20:00;1.6065;1.6064;500;950
...715781;WIN;CALL;AUDCHF;2026-08-11 15:40:00;0.57216;0.57218;500;950
...714953;LOSS;CALL;AUDCHF;2026-08-11 15:35:00;0.5726;0.57216;500;950
...713979;LOSS;CALL;AUDCHF;2026-08-11 15:30:00;0.57273;0.5726;500;950
...713032;LOSS;CALL;AUDCHF;2026-08-11 15:25:00;0.57282;0.57273;500;950
...689963;WIN;CALL;AUDCHF;2026-08-11 12:15:00;0.57246;0.57256;500;950
...689240;WIN;CALL;XLMUSDT;2026-08-11 12:10:00;0.15919;0.1596;500;900
...688860;LOSS;CALL;XLMUSDT;2026-08-11 12:05:00;0.1592;0.15919;500;900
...665766;WIN;CALL;EURCAD;2026-08-11 07:30:00;1.60709;1.60728;500;950
...634358;LOSS;PUT;AUDCHF;2026-08-10 22:40:00;0.57154;0.57156;500;950
...634313;LOSS;PUT;AUDCHF;2026-08-10 22:40:00;0.57153;0.57156;500;950
...628628;LOSS;CALL;EURCAD;2026-08-10 22:10:00;1.60875;1.60855;500;950
...617430;LOSS;CALL;AUDCHF;2026-08-10 21:00:00;0.57139;0.57131;500;950
...617402;LOSS;CALL;AUDCHF;2026-08-10 21:00:00;0.57139;0.57131;500;950
...606671;WIN;PUT;AUDCHF;2026-08-10 19:40:00;0.5716;0.57153;500;950
...606659;WIN;PUT;AUDCHF;2026-08-10 19:40:00;0.5716;0.57153;500;950
...590301;WIN;CALL;AUDCHF;2026-08-10 17:25:00;0.57136;0.57143;500;950
...588330;WIN;CALL;AUDCHF;2026-08-10 17:05:00;0.57146;0.57148;500;950
...587956;LOSS;CALL;AUDCHF;2026-08-10 17:00:00;0.57156;0.57146;500;950
...566150;WIN;CALL;EURCAD;2026-08-10 14:00:00;1.60875;1.60878;500;950
...563900;WIN;CALL;AUDCHF;2026-08-10 13:40:00;0.57138;0.57147;500;950
...538128;WIN;PUT;AUDCHF;2026-08-10 10:15:00;0.57129;0.57105;500;950
...537593;LOSS;PUT;AUDCHF;2026-08-10 10:10:00;0.57123;0.57129;500;950
...533011;LOSS;CALL;AUDCHF;2026-08-10 09:10:00;0.57101;0.5709;500;950
...532685;WIN;CALL;EURCAD;2026-08-10 09:05:00;1.6102;1.61037;500;950
...477839;WIN;CALL;XLMUSDT;2026-08-09 20:40:00;0.161;0.16303;500;900
...477315;LOSS;CALL;XLMUSDT;2026-08-09 20:35:00;0.1612;0.161;500;900
...475927;LOSS;CALL;XLMUSDT;2026-08-09 20:30:00;0.1614;0.1612;500;900
...312865;WIN;PUT;XLMUSDT;2026-08-08 12:00:00;0.1664;0.1662;500;900
...312381;LOSS;PUT;XLMUSDT;2026-08-08 11:55:00;0.1663;0.1664;500;900
...310448;WIN;PUT;XLMUSDT;2026-08-08 11:35:00;0.1662;0.166;500;900
...300626;WIN;PUT;XLMUSDT;2026-08-08 10:00:00;0.1648;0.1646;500;900
...251076;WIN;PUT;XLMUSDT;2026-08-07 22:50:00;0.1625;0.1622;500;900
...215682;WIN;PUT;EURCAD;2026-08-07 17:55:00;1.61185;1.61145;500;950
...173746;WIN;CALL;AUDCHF;2026-08-07 12:20:00;0.570297;0.57032;500;950
...160050;WIN;PUT;AUDCHF;2026-08-07 10:45:00;0.57066;0.5705;500;950
...154936;LOSS;CALL;EURCAD;2026-08-07 09:35:00;1.61543;1.61349;500;950
...154497;LOSS;PUT;AUDCHF;2026-08-07 09:25:00;0.57057;0.57061;500;950
...148535;WIN;PUT;EURCAD;2026-08-07 07:45:00;1.61608;1.61601;500;950
...077143;WIN;CALL;EURCAD;2026-08-06 18:00:00;1.61425;1.61455;500;950
...075819;WIN;CALL;AUDCHF;2026-08-06 17:50:00;0.57117;0.57122;500;950
...069744;WIN;CALL;XLMUSDT;2026-08-06 16:45:00;0.1608;0.1609;500;900
...069401;DESCONHECIDO_4;CALL;XLMUSDT;2026-08-06 16:40:00;0.1608;0.1608;500;900
...066362;WIN;CALL;AUDCHF;2026-08-06 15:55:00;0.57113;0.5712;500;950
...065178;WIN;CALL;AUDCHF;2026-08-06 15:45:00;0.57122;0.57124;500;950
...064653;LOSS;CALL;AUDCHF;2026-08-06 15:40:00;0.57123;0.57122;500;950
