Horario;Ativo;TF;Estrategia;Operacao;Status;Preco Entrada;Preco Saida;Resultado;Odd;Estrategias;RSI;MACD_Hist;Tendencia
07:35:25;EURCAD;M5;V2;COMPRAR;REAL;1,60313;1,60304;WIN;1,9;Cruzamento-MACD-Alta, PriceAction(ENGOLFO_ALTA_SUPORTE);42.06;1e-05;BAIXA
08:15:24;XLMUSDT;M5;F_RSI14;COMPRAR;REAL;0,1704;0,1712;WIN;1,8;RSI14 25.0 < 25 → espelho da fábrica (CALL);;;
08:00:17;EURCAD;M5;V2;COMPRAR;REAL;1,60516;1,60522;WIN;1,9;Tocou-Suporte-Bollinger, PriceAction(MARTELO_SUPORTE);31.46;-0.00014;BAIXA
08:30:20;AUDCHF;M5;F_PATAMAR12;VENDER;REAL;0,56743;0,56736;WIN;1,9;varreu topo 12v (0.56742) com EMA20<EMA50 → fade da fábrica (PUT);;;
08:40:04;AUDCHF;M5;F_PATAMAR12;VENDER;REAL;0,56754;0,56745;WIN;1,9;varreu topo 12v (0.56749) com EMA20<EMA50 → fade da fábrica (PUT);;;
08:45:22;AUDCHF;M5;F_PATAMAR12;COMPRAR;REAL;0,56832;0,56822;LOSS;1,9;varreu fundo 12v (0.56846) com EMA20>EMA50 → fade da fábrica (CALL);;;
08:50:15;AUDCHF;M5;F_PATAMAR12;COMPRAR;REAL;0,56822;0,56823;WIN;1,9;varreu fundo 12v (0.56831) com EMA20>EMA50 → fade da fábrica (CALL);;;
09:10:16;EURCAD;M5;V2;COMPRAR;REAL;1,61227;1,61263;WIN;1,9;Cruzamento-MACD-Alta, PriceAction(ENGOLFO_ALTA_SUPORTE);49.39;3e-05;LATERAL
10:25:05;AUDCHF;M5;F_PATAMAR12;COMPRAR;REAL;0,56798;0,56846;WIN;1,9;varreu fundo 12v (0.5682) com EMA20>EMA50 → fade da fábrica (CALL);;;
22:25:15;XLMUSDT;M5;F_RSI14;VENDER;REAL;0,1722;0,1723;LOSS;1,8;RSI14 78.3 > 75 → espelho da fábrica (PUT);;;
22:30:20;XLMUSDT;M5;F_RSI14;VENDER;REAL;0,1723;0,1722;WIN;1,8;RSI14 79.3 > 75 → espelho da fábrica (PUT);;;
22:35:26;XLMUSDT;M5;F_RSI14;VENDER;REAL;0,1722;0,1722;EMPATE;1,8;RSI14 75.5 > 75 → espelho da fábrica (PUT);;;
22:40:14;XLMUSDT;M5;F_RSI14;VENDER;REAL;0,1722;0,1721;WIN;1,8;RSI14 75.5 > 75 → espelho da fábrica (PUT);;;
22:40:11;XLMUSDT;M5;F_RSI14;COMPRAR;REAL;0,1727;0,1729;WIN;1,8;RSI14 23.2 < 25 → espelho da fábrica (CALL);;;
23:10:20;XLMUSDT;M5;F_RSI14;COMPRAR;REAL;0,1723;0,1723;LOSS;1,8;RSI14 24.4 < 25 → espelho da fábrica (CALL);;;
23:15:15;XLMUSDT;M5;F_RSI14;COMPRAR;REAL;0,1723;0,1724;WIN;1,8;RSI14 24.4 < 25 → espelho da fábrica (CALL);;;
03/08 11:45:20;AUDCHF;M5;F_PATAMAR12;VENDER;REAL;0,56641;0,56667;LOSS;1,9;varreu topo 12v (0.56632) com EMA20<EMA50 → fade da fábrica (PUT);;;
03/08 11:50:15;AUDCHF;M5;F_PATAMAR12;VENDER;REAL;0,56667;0,56671;LOSS;1,9;varreu topo 12v (0.56643) com EMA20<EMA50 → fade da fábrica (PUT);;;
03/08 11:55:09;AUDCHF;M5;F_PATAMAR12;VENDER;REAL;0,56671;0,56671;LOSS;1,9;varreu topo 12v (0.56668) com EMA20<EMA50 → fade da fábrica (PUT);;;
03/08 12:10:11;AUDCHF;M5;F_PATAMAR12;VENDER;REAL;0,56753;0,5675;EMPATE;1,9;varreu topo 12v (0.56744) com EMA20<EMA50 → fade da fábrica (PUT);;;
04/08 11:30:20;AUDCHF;M5;F_PATAMAR12;VENDER;REAL;0,56913;0,56925;LOSS;1,9;varreu topo 12v (0.56908) com EMA20<EMA50 → fade da fábrica (PUT);;;
04/08 15:40:12;AUDCHF;M5;F_PATAMAR12;COMPRAR;REAL;0,57003;0,56991;LOSS;1,9;varreu fundo 12v (0.57006) com EMA20>EMA50 → fade da fábrica (CALL);;;
04/08 15:45:12;AUDCHF;M5;F_PATAMAR12;COMPRAR;REAL;0,56991;0,56994;WIN;1,9;varreu fundo 12v (0.57002) com EMA20>EMA50 → fade da fábrica (CALL);;;
04/08 17:20:10;AUDCHF;M5;F_PATAMAR12;COMPRAR;REAL;0,57001;0,57001;EMPATE;1,9;varreu fundo 12v (0.57008) com EMA20>EMA50 → fade da fábrica (CALL);;;
04/08 17:55:09;EURCAD;M5;V2;COMPRAR;REAL;1,62156;1,62145;LOSS;1,9;Tocou-Suporte-Bollinger, PriceAction(MARTELO_SUPORTE);42.7;-2e-05;LATERAL
05/08 21:05:19;EURCAD;M5;V2;VENDER;REAL;1,61848;1,61847;WIN;1,9;Cruzamento-MACD-Baixa, PriceAction(ENGOLFO_BAIXA_RESISTENCIA);43.73;-1e-05;LATERAL
05/08 21:10:15;XLMUSDT;M5;F_RSI14;COMPRAR;REAL;0,1638;0,164;WIN;1,8;RSI14 22.1 < 25 → espelho da fábrica (CALL);;;
06/08 12:15:22;XLMUSDT;M5;F_RSI14;VENDER;REAL;0,1623;0,1625;WIN;1,8;RSI14 76.6 > 75 → espelho da fábrica (PUT);;;
06/08 12:20:17;XLMUSDT;M5;F_RSI14;VENDER;REAL;0,1625;0,1625;EMPATE;1,8;RSI14 78.2 > 75 → espelho da fábrica (PUT);;;
06/08 12:25:16;XLMUSDT;M5;F_RSI14;VENDER;REAL;0,1625;0,1625;EMPATE;1,8;RSI14 78.2 > 75 → espelho da fábrica (PUT);;;
06/08 12:30:20;XLMUSDT;M5;F_RSI14;VENDER;REAL;0,1625;0,1622;WIN;1,8;RSI14 78.2 > 75 → espelho da fábrica (PUT);;;
06/08 15:35:13;AUDCHF;M5;F_PATAMAR12;COMPRAR;REAL;0,57123;0,57122;LOSS;1,9;varreu fundo 12v (0.57124) com EMA20>EMA50 → fade da fábrica (CALL);;;
06/08 15:40:10;AUDCHF;M5;F_PATAMAR12;COMPRAR;REAL;0,57122;0,57124;WIN;1,9;varreu fundo 12v (0.57123) com EMA20>EMA50 → fade da fábrica (CALL);;;
06/08 15:50:16;AUDCHF;M5;F_PATAMAR12;COMPRAR;REAL;0,57113;0,5712;WIN;1,9;varreu fundo 12v (0.57116) com EMA20>EMA50 → fade da fábrica (CALL);;;
06/08 16:35:08;XLMUSDT;M5;F_RSI14;COMPRAR;REAL;0,1608;0,1608;EMPATE;1,8;RSI14 24.4 < 25 → espelho da fábrica (CALL);;;
06/08 16:40:30;XLMUSDT;M5;F_RSI14;COMPRAR;REAL;0,1608;0,1609;WIN;1,8;RSI14 24.4 < 25 → espelho da fábrica (CALL);;;
06/08 17:45:26;AUDCHF;M5;F_PATAMAR12;COMPRAR;REAL;0,57117;0,57122;WIN;1,9;varreu fundo 12v (0.57118) com EMA20>EMA50 → fade da fábrica (CALL);;;
06/08 17:55:11;EURCAD;M5;V2;COMPRAR;REAL;1,61425;1,61465;WIN;1,9;Tocou-Suporte-Bollinger, PriceAction(MARTELO_SUPORTE);35.9;-1e-05;BAIXA
06/08 22:20:09;EURCAD;M5;V2;VENDER;REAL;1,61462;1,61467;WIN;1,9;Cruzamento-MACD-Baixa, PriceAction(ENGOLFO_BAIXA_RESISTENCIA);48.03;-0.0;BAIXA
07/08 09:23:30;AUDCHF;M5;F_PATAMAR12;VENDER;REAL;0,57057;0,57061;LOSS;1,9;varreu topo 12v (0.57054) com EMA20<EMA50 → fade da fábrica (PUT);;;
07/08 09:30:16;EURCAD;M5;V2;COMPRAR;REAL;1,61415;1,61349;LOSS;1,9;RSI-Wilder-Sobrevenda(24.1), Tocou-Suporte-Bollinger, PriceAction(MARTELO_SUPORTE);24.09;-0.00019;BAIXA
07/08 10:40:20;AUDCHF;M5;F_PATAMAR12;VENDER;REAL;0,57073;0,5705;WIN;1,9;varreu topo 12v (0.57063) com EMA20<EMA50 → fade da fábrica (PUT);;;
