horario_sinal;ativo;variante;operacao;resultado;entrada;saida;rsi;atr;ema_gap
14/08/2026 19:15:00;XLMUSDT;XLM_RSI21_ATR;COMPRAR;LOSS;0.1567;0.1566;24.0821899283804;0.002406782751390272;-0.0005146215584914682
14/08/2026 19:20:00;XLMUSDT;XLM_RSI21_ATR;COMPRAR;EMPATE;0.1566;0.1566;23.44367155129693;0.0025451559934318436;-0.0005840495732755413
14/08/2026 19:25:00;XLMUSDT;XLM_RSI21_ATR;COMPRAR;WIN;0.1566;0.1572;23.443674992870896;0.002499543878854217;-0.0006422194794242497
18/08/2026 11:10:00;AUDCHF;AUD_BASE_PATAMAR12;COMPRAR;LOSS;0.57705;0.57694;29.61225989036963;0.0005136965105771815;0.00011706555102675154
19/08/2026 04:00:00;AUDCHF;AUD_BASE_PATAMAR12;VENDER;WIN;0.57356;0.57351;63.01020747641501;0.0005006326402518221;-0.00028849297614808034
19/08/2026 05:05:00;AUDCHF;AUD_BASE_PATAMAR12;VENDER;WIN;0.5737;0.57366;72.58254142297605;0.0003448791055554373;-0.00016540090094918636
19/08/2026 05:15:00;AUDCHF;AUD_BASE_PATAMAR12;VENDER;LOSS;0.57378;0.57395;73.58178408208396;0.00031619884176615836;-0.0001127331682424515
19/08/2026 05:20:00;AUDCHF;AUD_BASE_PATAMAR12;VENDER;LOSS;0.57395;0.57396;78.81882241721244;0.0003086381342327167;-7.812613470481455e-05
19/08/2026 05:20:00;AUDCHF;AUD_FORT_RSI7;VENDER;LOSS;0.57395;0.57396;78.81882241721244;0.0003086381342327167;-7.812613470481455e-05
19/08/2026 05:20:00;AUDCHF;AUD_FORT_RSI7_BB20;VENDER;LOSS;0.57395;0.57396;78.81882241721244;0.0003086381342327167;-7.812613470481455e-05
19/08/2026 06:30:00;AUDCHF;AUD_BASE_PATAMAR12;COMPRAR;WIN;0.57369;0.57373;37.153754844534056;0.0002577300333928637;7.785393385373318e-05
19/08/2026 06:45:00;AUDCHF;AUD_BASE_PATAMAR12;COMPRAR;LOSS;0.5736;0.57354;32.05547998811963;0.0002229029687188631;5.2529871742645895e-05
19/08/2026 06:50:00;AUDCHF;AUD_BASE_PATAMAR12;COMPRAR;LOSS;0.57354;0.57352;27.9831538541237;0.00021794469435435046;3.975846213222223e-05
19/08/2026 07:00:00;AUDCHF;AUD_BASE_PATAMAR12;COMPRAR;LOSS;0.5734;0.57331;20.05622471475678;0.00022547212118190584;9.808732488791883e-06
19/08/2026 07:00:00;AUDCHF;AUD_FORT_RSI7;COMPRAR;LOSS;0.5734;0.57331;20.05622471475678;0.00022547212118190584;9.808732488791883e-06
19/08/2026 07:00:00;AUDCHF;AUD_FORT_RSI7_BB20;COMPRAR;LOSS;0.5734;0.57331;20.05622471475678;0.00022547212118190584;9.808732488791883e-06
18/08/2026 11:25:00;DOGEUSDT;DOGE_RSI7_TREND_ATR;VENDER;WIN;0.07035;0.07024;81.51988147814508;0.0016346837242359634;-2.6684947841984497e-05
18/08/2026 08:00:00;XLMUSDT;XLM_RSI21_ATR;COMPRAR;WIN;0.1533;0.15361;12.42670891336283;0.0031795731991426696;-0.0007284698107493937
18/08/2026 08:05:00;XLMUSDT;XLM_RSI21_ATR;COMPRAR;LOSS;0.15361;0.1536;18.080474852759522;0.0031024765872757465;-0.0008387084902040931
18/08/2026 08:10:00;XLMUSDT;XLM_RSI21_ATR;COMPRAR;WIN;0.1536;0.1538;18.041026485645702;0.003163597470238097;-0.0009319641225004893
18/08/2026 08:15:00;XLMUSDT;XLM_RSI21_ATR;COMPRAR;WIN;0.1538;0.154;21.63192845024365;0.0031501950585175608;-0.0009983448826971775
18/08/2026 08:25:00;XLMUSDT;XLM_RSI21_ATR;COMPRAR;EMPATE;0.1538;0.1538;23.971610438637327;0.00310375255433774;-0.0010856116747299804
18/08/2026 08:30:00;XLMUSDT;XLM_RSI21_ATR;COMPRAR;LOSS;0.1538;0.1536;23.97160585073341;0.00310375255433774;-0.001120237644381239
18/08/2026 08:35:00;XLMUSDT;XLM_RSI21_ATR;COMPRAR;EMPATE;0.1536;0.1536;22.859131356714443;0.0031077938988095344;-0.001157360560208931
18/08/2026 08:40:00;XLMUSDT;XLM_RSI21_ATR;COMPRAR;WIN;0.1536;0.15375;22.85913466318361;0.0030612909226190635;-0.0011853025400981876
18/08/2026 08:50:00;XLMUSDT;XLM_RSI21_ATR;COMPRAR;WIN;0.1533;0.1537;23.0290962918356;0.0031721181623334434;-0.0012274676237025162
19/08/2026 10:30:00;XLMUSDT;XLM_RSI21_ATR;VENDER;WIN;0.1589;0.1583;75.17429423878936;0.0020345230603254524;0.000425204991694933
19/08/2026 11:05:00;BTCUSDT;BTC_RSI14_ATR;VENDER;LOSS;65370.87;65407.43;75.75002760890754;0.0022407099468441725;208.19290345007903
19/08/2026 11:10:00;BTCUSDT;BTC_RSI14_ATR;VENDER;LOSS;65407.43;65441.01;76.65401062347703;0.0022750803485606682;225.70438164316147
19/08/2026 11:15:00;BTCUSDT;BTC_RSI14_ATR;VENDER;WIN;65441.01;65426.01;77.48423396095008;0.002332580813730461;241.9649660994255
19/08/2026 11:20:00;BTCUSDT;BTC_RSI14_ATR;VENDER;LOSS;65426.01;65439.08;76.18099355928253;0.0023337924790374437;254.35596370598796
19/08/2026 11:25:00;BTCUSDT;BTC_RSI14_ATR;VENDER;WIN;65439.08;65359.4;76.55107989461126;0.0023795338438656107;264.90920912515867
19/08/2026 11:50:00;BTCUSDT;BTC_RSI14_ATR;VENDER;LOSS;65765.99;65941.23;79.21161554310953;0.002066223150771846;310.02772948808706
19/08/2026 11:55:00;BTCUSDT;BTC_RSI14_ATR;VENDER;LOSS;65941.23;66064.34;82.31104698164074;0.002108864554738494;335.09832547968836
19/08/2026 11:55:00;XLMUSDT;XLM_RSI21_ATR;VENDER;LOSS;0.1613;0.1628;80.64135543586427;0.0029426091577362556;0.0007765013113074648
20/08/2026 16:05:00;AUDCHF;AUD_BASE_PATAMAR12;VENDER;WIN;0.56943;0.56935;75.946942499121;0.0001680878873861479;-0.0006038079796861773
20/08/2026 16:05:00;AUDCHF;AUD_FORT_RSI7;VENDER;WIN;0.56943;0.56935;75.946942499121;0.0001680878873861479;-0.0006038079796861773
20/08/2026 20:30:00;AUDCHF;AUD_BASE_PATAMAR12;VENDER;WIN;0.56928;0.56916;64.70588229191961;0.000185698225327235;-0.00017289517636309704
20/08/2026 20:50:00;AUDCHF;AUD_BASE_PATAMAR12;VENDER;WIN;0.56934;0.56918;66.52123102670018;0.0001806603134456295;-0.00013803672851830928
20/08/2026 21:00:00;AUDCHF;AUD_BASE_PATAMAR12;VENDER;LOSS;0.56959;0.5697;71.32348760493204;0.0002257262742874952;-0.00010452851168474275
20/08/2026 21:05:00;AUDCHF;AUD_BASE_PATAMAR12;VENDER;LOSS;0.5697;0.56973;74.7093387004394;0.00024072820281348717;-7.351828028479002e-05
20/08/2026 22:10:00;AUDCHF;AUD_BASE_PATAMAR12;COMPRAR;WIN;0.569603;0.56981;41.07223673759646;0.0002234639113307176;0.00010893086383190198
21/08/2026 02:35:00;AUDCHF;AUD_BASE_PATAMAR12;COMPRAR;LOSS;0.57081;0.57067;25.57445602636824;0.00020897621675461666;0.0002838700968057495
21/08/2026 02:40:00;AUDCHF;AUD_BASE_PATAMAR12;COMPRAR;LOSS;0.57067;0.56989;18.665186507219047;0.00025659062405341654;0.0002561575763312396
21/08/2026 02:40:00;AUDCHF;AUD_FORT_RSI7;COMPRAR;LOSS;0.57067;0.56989;18.665186507219047;0.00025659062405341654;0.0002561575763312396
21/08/2026 02:40:00;AUDCHF;AUD_FORT_RSI7_BB20;COMPRAR;LOSS;0.57067;0.56989;18.665186507219047;0.00025659062405341654;0.0002561575763312396
21/08/2026 02:45:00;AUDCHF;AUD_BASE_PATAMAR12;COMPRAR;WIN;0.56989;0.569917;6.772419234885177;0.00039105290996005503;0.00018741313506875912
21/08/2026 02:45:00;AUDCHF;AUD_FORT_RSI7;COMPRAR;WIN;0.56989;0.569917;6.772419234885177;0.00039105290996005503;0.00018741313506875912
21/08/2026 02:45:00;AUDCHF;AUD_FORT_RSI7_BB20;COMPRAR;WIN;0.56989;0.569917;6.772419234885177;0.00039105290996005503;0.00018741313506875912
21/08/2026 06:15:00;AUDCHF;AUD_BASE_PATAMAR12;COMPRAR;LOSS;0.57206;0.57183;31.52414701966505;0.00040330434869472836;0.00044735691714814507
