Terreno;Ativo;Estrategia;Odd;Tipo;Resultado;Premio;Valor;Fechamento_trade_ts;Tx_id;Saldo_depois;Coletado_em
XLMUSDT;XLMUSDT;S2;1.80;VENDER;LOSS;-5.00;0.175;11:45:00;—;+0.00;11:50
XLMUSDT;XLMUSDT;S2;1.80;VENDER;WIN;+4.00;0.1754;11:50:00;—;+4.00;11:55
XLMUSDT;XLMUSDT;S2;1.80;COMPRAR;LOSS;-5.00;0.1737;21:50:00;—;+0.00;21:55
XLMUSDT;XLMUSDT;S2;1.80;COMPRAR;WIN;+4.00;0.1736;21:55:00;—;+4.00;22:00
XLMUSDT;XLMUSDT;S2;1.80;COMPRAR;LOSS;-5.00;0.1732;22:25:00;—;+8.00;22:30
XLMUSDT;XLMUSDT;S2;1.80;COMPRAR;EMPATE;+0.00;0.173;22:30:00;—;+12.00;22:35
XLMUSDT;XLMUSDT;S4;1.80;COMPRAR;EMPATE;+0.00;0.173;22:30:00;—;+16.00;22:35
XLMUSDT;XLMUSDT;S2;1.80;COMPRAR;WIN;+4.00;0.1727;22:40:00;—;+20.00;22:45
XLMUSDT;XLMUSDT;S4;1.80;COMPRAR;WIN;+4.00;0.1727;22:40:00;—;+24.00;22:45
XLMUSDT;XLMUSDT;S4;1.80;COMPRAR;EMPATE;+0.00;0.1723;23:10:00;—;+28.00;23:15
XLMUSDT;XLMUSDT;S2;1.80;COMPRAR;EMPATE;+0.00;0.1716;00:15:00;—;+32.00;00:20
AUDCHF;AUDCHF;S4;1.90;COMPRAR;WIN;+4.50;0.56517;10:45:00;—;+0.00;10:50
XLMUSDT;XLMUSDT;S1;1.80;VENDER;EMPATE;+0.00;0.1724;10:55:00;—;+4.00;11:00
XLMUSDT;XLMUSDT;S2;1.80;VENDER;EMPATE;+0.00;0.1724;10:55:00;—;+8.00;11:00
XLMUSDT;XLMUSDT;S1;1.80;VENDER;LOSS;-5.00;0.1724;11:00:00;—;+12.00;11:05
XLMUSDT;XLMUSDT;S2;1.80;VENDER;LOSS;-5.00;0.1724;11:00:00;—;+16.00;11:05
XLMUSDT;XLMUSDT;S2;1.80;VENDER;WIN;+4.00;0.17251;16:15:00;—;+0.00;16:20
XLMUSDT;XLMUSDT;S2;1.80;VENDER;EMPATE;+0.00;0.1725;16:20:00;—;+4.00;16:25
