horario_sinal;ativo;estrategia;direcao;probabilidade;preco_entrada;horario_expiracao;preco_saida;resultado;odd;pnl_virtual
08/09/2026 21:45;ETHUSDT;IA_LOGIT_M15;CALL;0.616;2482.930000;08/09/2026 22:00;2483.890000;WIN;1.80;+4.00
09/09/2026 01:45;DOGEUSDT;IA_LOGIT_M15;CALL;0.606;0.090280;09/09/2026 02:00;0.090040;LOSS;1.80;-5.00
09/09/2026 02:45;DOGEUSDT;IA_LOGIT_M15;CALL;0.619;0.089940;09/09/2026 03:00;0.089550;LOSS;1.80;-5.00
09/09/2026 04:45;XLMUSDT;IA_LOGIT_M15;PUT;0.355;0.190100;09/09/2026 05:00;0.190400;LOSS;1.80;-5.00
09/09/2026 07:45;DOGEUSDT;IA_LOGIT_M15;PUT;0.373;0.090890;09/09/2026 08:00;0.090960;LOSS;1.80;-5.00
09/09/2026 08:45;DOGEUSDT;IA_LOGIT_M15;PUT;0.376;0.091430;09/09/2026 09:00;0.091130;WIN;1.80;+4.00
09/09/2026 09:45;DOGEUSDT;IA_LOGIT_M15;CALL;0.605;0.090110;09/09/2026 10:00;0.090280;WIN;1.80;+4.00
09/09/2026 09:45;ETHUSDT;IA_LOGIT_M15;CALL;0.613;2490.620000;09/09/2026 10:00;2491.870000;WIN;1.80;+4.00
09/09/2026 10:45;ETHUSDT;IA_LOGIT_M15;CALL;0.614;2487.400000;09/09/2026 11:00;2486.830000;LOSS;1.80;-5.00
09/09/2026 13:45;DOGEUSDT;IA_LOGIT_M15;CALL;0.619;0.090340;09/09/2026 14:00;0.090130;LOSS;1.80;-5.00
09/09/2026 14:45;DOGEUSDT;IA_LOGIT_M15;CALL;0.630;0.089820;09/09/2026 15:00;0.089030;LOSS;1.80;-5.00
09/09/2026 18:45;DOGEUSDT;IA_LOGIT_M15;CALL;0.623;0.088580;09/09/2026 19:00;0.088530;LOSS;1.80;-5.00
09/09/2026 18:45;ETHUSDT;IA_LOGIT_M15;CALL;0.609;2481.430000;09/09/2026 19:00;2482.460000;WIN;1.80;+4.00
09/09/2026 19:45;DOGEUSDT;IA_LOGIT_M15;CALL;0.644;0.087030;09/09/2026 20:00;0.086810;LOSS;1.80;-5.00
09/09/2026 19:45;ETHUSDT;IA_LOGIT_M15;CALL;0.656;2465.490000;09/09/2026 20:00;2466.570000;WIN;1.80;+4.00
09/09/2026 22:45;ETHUSDT;IA_LOGIT_M15;CALL;0.607;2450.370000;09/09/2026 23:00;2460.600000;WIN;1.80;+4.00
10/09/2026 00:45;DOGEUSDT;IA_LOGIT_M15;CALL;0.650;0.085610;10/09/2026 01:00;0.085950;WIN;1.80;+4.00
10/09/2026 04:45;DOGEUSDT;IA_LOGIT_M15;CALL;0.619;0.085750;10/09/2026 05:00;0.086000;WIN;1.80;+4.00
10/09/2026 08:45;DOGEUSDT;IA_LOGIT_M15;CALL;0.603;0.085280;10/09/2026 09:00;0.085330;WIN;1.80;+4.00
10/09/2026 08:45;ETHUSDT;IA_LOGIT_M15;CALL;0.609;2471.240000;10/09/2026 09:00;2474.330000;WIN;1.80;+4.00
10/09/2026 10:45;ETHUSDT;IA_LOGIT_M15;CALL;0.617;2464.210000;10/09/2026 11:00;2462.060000;LOSS;1.80;-5.00
10/09/2026 12:45;ETHUSDT;IA_LOGIT_M15;CALL;0.623;2414.840000;10/09/2026 13:00;2410.860000;LOSS;1.80;-5.00
10/09/2026 18:45;ETHUSDT;IA_LOGIT_M15;PUT;0.382;2468.490000;10/09/2026 19:00;2464.770000;WIN;1.80;+4.00
10/09/2026 21:45;DOGEUSDT;IA_LOGIT_M15;CALL;0.605;0.084080;10/09/2026 22:00;0.084150;WIN;1.80;+4.00
10/09/2026 22:45;DOGEUSDT;IA_LOGIT_M15;CALL;0.621;0.083540;10/09/2026 23:00;0.082950;LOSS;1.80;-5.00
10/09/2026 22:45;ETHUSDT;IA_LOGIT_M15;CALL;0.661;2445.080000;10/09/2026 23:00;2436.700000;LOSS;1.80;-5.00
11/09/2026 00:45;DOGEUSDT;IA_LOGIT_M15;PUT;0.392;0.083460;11/09/2026 01:00;0.083510;LOSS;1.80;-5.00
11/09/2026 05:45;ETHUSDT;IA_LOGIT_M15;PUT;0.377;2468.840000;11/09/2026 06:00;2470.200000;LOSS;1.80;-5.00
11/09/2026 12:45;DOGEUSDT;IA_LOGIT_M15;PUT;0.366;0.085170;11/09/2026 13:00;0.084840;WIN;1.80;+4.00
11/09/2026 12:45;XLMUSDT;IA_LOGIT_M15;PUT;0.344;0.179300;11/09/2026 13:00;0.178300;WIN;1.80;+4.00
11/09/2026 13:45;DOGEUSDT;IA_LOGIT_M15;PUT;0.287;0.087430;11/09/2026 14:00;0.086690;WIN;1.80;+4.00
11/09/2026 13:45;XLMUSDT;IA_LOGIT_M15;PUT;0.287;0.184200;11/09/2026 14:00;0.183100;WIN;1.80;+4.00
11/09/2026 13:45;ETHUSDT;IA_LOGIT_M15;CALL;0.665;2629.620000;11/09/2026 14:00;2612.450000;LOSS;1.80;-5.00
11/09/2026 14:45;DOGEUSDT;IA_LOGIT_M15;PUT;0.393;0.086500;11/09/2026 15:00;0.085910;WIN;1.80;+4.00
11/09/2026 14:45;ETHUSDT;IA_LOGIT_M15;CALL;0.675;2607.930000;11/09/2026 15:00;2603.150000;LOSS;1.80;-5.00
11/09/2026 18:45;XLMUSDT;IA_LOGIT_M15;CALL;0.616;0.177600;11/09/2026 19:00;0.178100;WIN;1.80;+4.00
12/09/2026 00:45;ETHUSDT;IA_LOGIT_M15;CALL;0.606;2510.770000;12/09/2026 01:00;2516.140000;WIN;1.80;+4.00
12/09/2026 01:45;ETHUSDT;IA_LOGIT_M15;CALL;0.675;2513.710000;12/09/2026 02:00;2513.200000;LOSS;1.80;-5.00
12/09/2026 05:45;ETHUSDT;IA_LOGIT_M15;CALL;0.641;2511.700000;12/09/2026 06:00;2510.830000;LOSS;1.80;-5.00
12/09/2026 07:45;ETHUSDT;IA_LOGIT_M15;PUT;0.385;2524.190000;12/09/2026 08:00;2525.860000;LOSS;1.80;-5.00
12/09/2026 13:45;ETHUSDT;IA_LOGIT_M15;PUT;0.383;2544.580000;12/09/2026 14:00;2541.020000;WIN;1.80;+4.00
12/09/2026 20:45;ETHUSDT;IA_LOGIT_M15;CALL;0.630;2520.820000;12/09/2026 21:00;2525.970000;WIN;1.80;+4.00
13/09/2026 06:45;ETHUSDT;IA_LOGIT_M15;CALL;0.638;2513.190000;13/09/2026 07:00;2515.240000;WIN;1.80;+4.00
13/09/2026 08:45;ETHUSDT;IA_LOGIT_M15;CALL;0.626;2494.290000;13/09/2026 09:00;2493.010000;LOSS;1.80;-5.00
13/09/2026 10:45;ETHUSDT;IA_LOGIT_M15;CALL;0.613;2472.180000;13/09/2026 11:00;2469.830000;LOSS;1.80;-5.00
13/09/2026 14:45;XLMUSDT;IA_LOGIT_M15;PUT;0.380;0.179800;13/09/2026 15:00;0.178900;WIN;1.80;+4.00
13/09/2026 18:45;ETHUSDT;IA_LOGIT_M15;PUT;0.400;2509.490000;13/09/2026 19:00;2508.760000;WIN;1.80;+4.00
