fase;horario_sinal;horario_expiracao;ativo;estrategia;lado;entrada;saida;resultado;odd;stake_virtual;pnl_virtual
TREINO_REPLAY;11/08/2026 12:00:00;11/08/2026 12:05:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1592;0.15919;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;11/08/2026 12:00:00;11/08/2026 12:05:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;CALL;0.1592;0.15919;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;11/08/2026 12:05:00;11/08/2026 12:10:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.15919;0.1596;WIN;1.8;5.0;4.0
TREINO_REPLAY;11/08/2026 12:05:00;11/08/2026 12:10:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;CALL;0.15919;0.1596;WIN;1.8;5.0;4.0
TREINO_REPLAY;11/08/2026 17:15:00;11/08/2026 17:20:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1621;0.1619;WIN;1.8;5.0;4.0
TREINO_REPLAY;11/08/2026 17:15:00;11/08/2026 17:20:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;PUT;0.1621;0.1619;WIN;1.8;5.0;4.0
TREINO_REPLAY;12/08/2026 03:15:00;12/08/2026 03:20:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1606;0.1607;WIN;1.8;5.0;4.0
TREINO_REPLAY;12/08/2026 03:15:00;12/08/2026 03:20:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;CALL;0.1606;0.1607;WIN;1.8;5.0;4.0
TREINO_REPLAY;12/08/2026 03:25:00;12/08/2026 03:30:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1605;0.1604;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;12/08/2026 03:30:00;12/08/2026 03:35:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1604;0.16;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;12/08/2026 03:35:00;12/08/2026 03:40:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.16;0.1599;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;12/08/2026 03:35:00;12/08/2026 03:40:00;XLMUSDT;XLM_CHAL_RSI14_22_78;CALL;0.16;0.1599;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;12/08/2026 03:40:00;12/08/2026 03:45:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1599;0.1596;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;12/08/2026 03:40:00;12/08/2026 03:45:00;XLMUSDT;XLM_CHAL_RSI14_22_78;CALL;0.1599;0.1596;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;12/08/2026 03:45:00;12/08/2026 03:50:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1596;0.1603;WIN;1.8;5.0;4.0
TREINO_REPLAY;12/08/2026 03:45:00;12/08/2026 03:50:00;XLMUSDT;XLM_CHAL_RSI14_22_78;CALL;0.1596;0.1603;WIN;1.8;5.0;4.0
TREINO_REPLAY;12/08/2026 11:55:00;12/08/2026 12:00:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1586;0.1591;WIN;1.8;5.0;4.0
TREINO_REPLAY;12/08/2026 11:55:00;12/08/2026 12:00:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;CALL;0.1586;0.1591;WIN;1.8;5.0;4.0
TREINO_REPLAY;13/08/2026 00:15:00;13/08/2026 00:20:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1617;0.1619;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;13/08/2026 00:15:00;13/08/2026 00:20:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;PUT;0.1617;0.1619;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;13/08/2026 00:20:00;13/08/2026 00:25:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1619;0.1619;EMPATE;1.8;5.0;0.0
TREINO_REPLAY;13/08/2026 00:20:00;13/08/2026 00:25:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;PUT;0.1619;0.1619;EMPATE;1.8;5.0;0.0
TREINO_REPLAY;13/08/2026 00:25:00;13/08/2026 00:30:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1619;0.162;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;13/08/2026 00:30:00;13/08/2026 00:35:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.162;0.1618;WIN;1.8;5.0;4.0
